,uuid,timestamp_prod_start,prod_plt_temp,timestamp_prod_end
0,54f145d2-e871-4bb9-8f9f-ee72e2ced9cd,2022-01-27 09:16:01.750997,18.54,2022-01-27 09:16:11.800704
1,a3ec2e1f-fa73-4c7c-9b2b-76c11e607ded,2022-01-27 09:17:39.566504,33.32,2022-01-27 09:17:49.616211
2,3fad8ca6-c3f5-4646-8d13-4d12c23bce4b,2022-01-27 09:19:47.517361,66.63,2022-01-27 09:19:57.567068
3,c047f085-5295-487c-983b-822973db31d8,2022-01-27 09:21:24.938869,69.02,2022-01-27 09:21:34.988576
4,d635cbe2-f5dc-4bc2-af97-b7dfb4f52dbc,2022-01-27 09:23:02.834619,70.03,2022-01-27 09:23:12.884326
5,9353e595-3e50-4b7f-a837-3179e90bc280,2022-01-27 09:24:39.940174,70.47,2022-01-27 09:24:49.989881
6,2c00d197-8706-4f91-b693-d69ca3453282,2022-01-27 09:26:18.395837,71.62,2022-01-27 09:26:28.445544
7,127a427b-c41b-4d80-912c-a8071ec1d62e,2022-01-27 09:27:56.259454,72.74,2022-01-27 09:28:06.309161
8,5d92230e-1a76-45f9-a999-e21f7bc46cb4,2022-01-27 09:29:55.526469,71.93,2022-01-27 09:30:05.576176
9,a8a6bf06-2160-4aed-8bf4-51b2c3452a0b,2022-01-27 09:31:57.617602,71.28,2022-01-27 09:32:07.667309
10,1fd97a4f-52b5-44b1-99ca-bbd1265a38f6,2022-01-27 09:33:34.819187,73.19,2022-01-27 09:33:44.868894
11,0baf0a82-b664-49a6-b761-f6d92d635773,2022-01-27 09:35:12.964843,72.61,2022-01-27 09:35:23.014550
12,1757b9d1-20c2-43c3-8d29-1cbe1fdf413b,2022-01-27 09:36:50.486530,72.94,2022-01-27 09:37:00.536237
13,0eae743f-d431-4c83-b376-692607138147,2022-01-27 09:38:40.479946,73.03,2022-01-27 09:38:50.529653
14,ae09f33c-dd60-4295-901a-06d6515f9a09,2022-01-27 09:40:17.955557,73.21,2022-01-27 09:40:28.005264
15,18b87675-a09b-4ebb-b21b-87128e5d0fc0,2022-01-27 09:41:55.669364,73.07,2022-01-27 09:42:05.719071
16,8b8c606e-a5fb-4e4f-872d-0747b03a335f,2022-01-27 09:43:33.523037,72.4,2022-01-27 09:43:43.572744
17,db81600b-0ccf-46eb-a808-cf99aa061515,2022-01-27 09:45:11.584619,72.35,2022-01-27 09:45:21.634326
18,2b93a06a-e418-4876-aa32-1ba995d97ee1,2022-01-27 09:46:48.968298,73.99,2022-01-27 09:46:59.018005
19,dd2dcb65-a7f3-496d-908c-16615c46486e,2022-01-27 09:48:26.218030,73.99,2022-01-27 09:48:36.267737
20,892fc4ca-343d-47e8-b959-f9857ee1419c,2022-01-27 09:50:03.851616,73.99,2022-01-27 09:50:13.901323
21,fecffa35-bfde-416c-9a80-5572d98f8d64,2022-01-27 09:52:28.280158,73.06,2022-01-27 09:52:38.329865
22,6be3028e-4393-4095-a662-5d849a9798fb,2022-01-27 09:54:06.229826,73.34,2022-01-27 09:54:16.279533
23,71e6fdb9-cf48-4d7c-86ff-2a35fe47570b,2022-01-27 09:55:43.597442,73.17,2022-01-27 09:55:53.647149
24,b222d96e-cd2e-4e8a-8e06-41e04ce2df27,2022-01-27 09:57:20.907166,73.48,2022-01-27 09:57:30.956873
25,8c45a87c-5508-4585-85f4-201d5266d554,2022-01-27 09:58:58.612632,73.05,2022-01-27 09:59:08.662339
26,1fc9cdb0-5804-4f9a-a462-f708627fe584,2022-01-27 10:00:36.166243,73.5,2022-01-27 10:00:46.215950
27,ae43247e-7159-404f-af1d-6e16c3b77605,2022-01-27 10:02:13.947859,72.96,2022-01-27 10:02:23.997566
28,0de65557-2208-4796-b402-de70de0e0f30,2022-01-27 10:04:13.646910,96.38,2022-01-27 10:04:23.696617
29,b07c18e8-c3e2-48a2-8aac-769a2260bb6d,2022-01-27 10:05:51.040527,98.15,2022-01-27 10:06:01.090234
30,a497a745-69a8-4cf5-8756-6bac289cb08b,2022-01-27 10:07:28.694299,99.55,2022-01-27 10:07:38.744006
31,875d63cf-1926-42cb-bcc2-7605a41b5e27,2022-01-27 10:09:05.987979,97.64,2022-01-27 10:09:16.037686
32,10a5fc4e-4b1d-489b-b735-cf606b629d51,2022-01-27 10:10:43.947640,98.88,2022-01-27 10:10:53.997347
33,5da8e8e2-8a24-4452-ae1b-51b04deaf813,2022-01-27 10:12:21.043366,97.96,2022-01-27 10:12:31.093073
34,14d5510b-7ee0-4cb2-8c22-39ec168780f3,2022-01-27 10:13:57.981116,98.9,2022-01-27 10:14:08.030823
35,c12c6879-3bd1-4fc6-9ba0-3303d6e6a029,2022-01-27 10:15:35.696893,98.59,2022-01-27 10:15:45.746600
36,95fed411-0495-4dac-99a9-4620995fd101,2022-01-27 10:17:13.278573,98.78,2022-01-27 10:17:23.328280
37,5fa59a1b-4b74-4730-8be0-413e0b2ed066,2022-01-27 10:18:50.738247,98.82,2022-01-27 10:19:00.787954
38,6c518ada-d8c0-479b-9581-f38fb455122c,2022-01-27 10:20:28.479841,99.03,2022-01-27 10:20:38.529548
39,9de4e943-66b8-4d80-90f8-6b52520d45c3,2022-01-27 10:22:06.339246,98.72,2022-01-27 10:22:16.388953
40,d7aeea8c-a1e0-4059-abb8-b674370c579e,2022-01-27 10:23:44.786993,98.71,2022-01-27 10:23:54.836700
41,8cddde73-9066-4390-bbfe-8877c83d4715,2022-01-27 10:25:21.834590,98.79,2022-01-27 10:25:31.884297
42,e0d47802-02e2-4158-a491-58ea31c9c554,2022-01-27 10:27:00.134167,98.73,2022-01-27 10:27:10.183874
43,de1dd96e-bc24-47c5-abd7-f1eb8851e8ca,2022-01-27 10:28:37.473686,98.72,2022-01-27 10:28:47.523393
44,bc66f466-1123-475b-9981-41ee31c1deea,2022-01-27 10:30:15.031303,98.6,2022-01-27 10:30:25.081010
45,4d06decd-d964-4234-9cd6-c75803f918d3,2022-01-27 10:31:53.884867,98.27,2022-01-27 10:32:03.934574
46,dd3ecd76-e98e-49df-a309-f381f6ea2b76,2022-01-27 10:33:31.438752,98.79,2022-01-27 10:33:41.488459
47,9655053e-62bc-43d9-8925-5d7671f9de21,2022-01-27 10:35:21.159745,99.14,2022-01-27 10:35:31.209452
48,4954525e-aee3-4b14-9505-fd2539087755,2022-01-27 10:36:54.325481,100.52,2022-01-27 10:37:04.375188
49,7521bc94-a3b0-4065-a2c6-36c19081ea55,2022-01-27 10:38:21.565211,98.1,2022-01-27 10:38:31.614918
50,638e811e-c911-41e9-9978-7875834e681f,2022-01-27 10:39:54.730798,98.14,2022-01-27 10:40:04.780505
51,3afbd049-f7c0-4b58-9f9d-4f3528a7067a,2022-01-27 10:41:27.896485,98.08,2022-01-27 10:41:37.946192
52,a4052d3e-0e07-4609-b731-3c13b6e2cfef,2022-01-27 10:43:01.056858,98.4,2022-01-27 10:43:11.106565
53,362938db-2585-4aba-94a7-9c2d2872db4f,2022-01-27 10:44:39.745728,98.39,2022-01-27 10:44:49.795435
54,743ad326-1011-4c3d-914f-bdf73b85d7bf,2022-01-27 10:46:17.265189,98.79,2022-01-27 10:46:27.314896
55,29a2b5d7-a20f-4dce-9dc1-fd14110762ed,2022-01-27 10:47:55.120842,98.36,2022-01-27 10:48:05.170549
56,c88486ea-bc48-4a47-97e0-24de43f32315,2022-01-27 10:49:33.204408,98.53,2022-01-27 10:49:43.254115
57,724e7be0-d212-4ab4-af60-f8147c5c03dc,2022-01-27 10:51:10.300153,98.64,2022-01-27 10:51:20.349860
58,0bf5adf0-faf0-4f71-be73-f2c372844a4e,2022-01-27 10:52:47.729676,98.59,2022-01-27 10:52:57.779383
59,9a74a6b8-38c7-49d7-b40b-9a2f0692c7bc,2022-01-27 10:54:25.699574,98.85,2022-01-27 10:54:35.749281
60,aa6c0ecf-7fbc-46a1-961a-7bb8b71c8205,2022-01-27 10:56:05.074852,100.0,2022-01-27 10:56:15.124559
61,a20ec038-7932-41bb-bcfa-d2ccfa30e553,2022-01-27 10:57:43.272592,98.82,2022-01-27 10:57:53.322299
62,9beabeaf-c33e-4ee5-a715-043053fbe856,2022-01-27 10:59:20.966312,98.89,2022-01-27 10:59:31.016019
63,024fe6dc-29cb-4da9-accc-d31ce0d38117,2022-01-27 11:00:58.079830,98.88,2022-01-27 11:01:08.129537
64,fb406211-adf6-4be2-aa47-37711cbd990d,2022-01-27 11:02:35.587353,98.93,2022-01-27 11:02:45.637060
